Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295-64401,RB,Saquon,Saquon Barkley,Barkley,28.46666717529297,3,9700,PHI@TB,PHI,TB,,,,,,RB/FLEX
107295-85671,WR,Justin,Justin Jefferson,Jefferson,18.433333079020183,3,9400,MIN@GB,MIN,GB,,,,,,WR/FLEX
107295-62239,QB,Josh,Josh Allen,Allen,23.953333536783855,3,9200,BUF@BAL,BUF,BAL,,,,,,QB
107295-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,14.833333333333334,3,9200,CIN@CAR,CIN,CAR,,,,,,WR/FLEX
107295-63115,QB,Lamar,Lamar Jackson,Jackson,23.82666778564453,3,8900,BUF@BAL,BAL,BUF,,,,,,QB
107295-86875,RB,Jordan,Jordan Mason,Mason,18.133333841959637,3,8800,NE@SF,SF,NE,,,,,,RB/FLEX
107295-63484,QB,Kyler,Kyler Murray,Murray,19.5,3,8700,WAS@ARI,ARI,WAS,,,,,,QB
107295-42104,RB,Alvin,Alvin Kamara,Kamara,26.566665649414062,3,8600,NO@ATL,NO,ATL,Q,Ribs,,,,RB/FLEX
107295-69531,QB,Jalen,Jalen Hurts,Hurts,19.393333435058594,3,8600,PHI@TB,PHI,TB,,,,,,QB
107295-57439,QB,Patrick,Patrick Mahomes,Mahomes,15.986666361490885,3,8500,KC@LAC,KC,LAC,,,,,,QB
107295-111311,WR,Rashee,Rashee Rice,Rice,19.633333841959637,3,8500,KC@LAC,KC,LAC,,,,,,WR/FLEX
107295-39280,RB,Derrick,Derrick Henry,Henry,19.866666158040363,3,8400,BUF@BAL,BAL,BUF,,,,,,RB/FLEX
107295-72846,WR,A.J.,A.J. Brown,Brown,23.399999618530273,1,8300,PHI@TB,PHI,TB,Q,Hamstring,,,,WR/FLEX
107295-136855,RB,Bijan,Bijan Robinson,Robinson,13.333333333333334,3,8300,NO@ATL,ATL,NO,Q,Shoulder,,,,RB/FLEX
107295-102785,QB,Jayden,Jayden Daniels,Daniels,23.220001220703125,3,8200,WAS@ARI,WAS,ARI,,,,,,QB
107295-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,15.266666412353516,3,8200,WAS@ARI,ARI,WAS,Q,Quadriceps,,,,WR/FLEX
107295-89675,RB,Jonathan,Jonathan Taylor,Taylor,19.099999745686848,3,8200,PIT@IND,IND,PIT,,,,,,RB/FLEX
107295-79970,WR,Cooper,Cooper Kupp,Kupp,16.850000381469727,2,8100,LAR@CHI,LAR,CHI,O,Ankle,,,,WR/FLEX
107295-104433,RB,Kyren,Kyren Williams,Williams,18.900000254313152,3,8100,LAR@CHI,LAR,CHI,,,,,,RB/FLEX
107295-103064,RB,Breece,Breece Hall,Hall,17.666666666666668,3,8000,DEN@NYJ,NYJ,DEN,,,,,,RB/FLEX
